,acquisition_function,kappa,xi,median_best_solution,mean_loss
271,poi,7,0.7000000000000001,14.5,-1.4
272,poi,7,0.8,12.5,-1.0
273,poi,7,0.9,16.0,-1.01
274,poi,8,0.0,11.0,-2.41
275,poi,8,0.1,8.5,-2.54
276,poi,8,0.2,12.0,-1.6
277,poi,8,0.30000000000000004,11.5,-1.86
278,poi,8,0.4,14.0,-2.06
279,poi,8,0.5,16.0,-1.95
280,poi,8,0.6000000000000001,11.5,-1.95
281,poi,8,0.7000000000000001,16.5,-1.97
282,poi,8,0.8,13.0,-1.57
283,poi,8,0.9,12.0,-1.3
284,poi,9,0.0,15.0,-2.3
285,poi,9,0.1,8.5,-1.88
286,poi,9,0.2,12.0,-2.16
287,poi,9,0.30000000000000004,14.5,-1.6600000000000001
288,poi,9,0.4,9.5,-1.61
289,poi,9,0.5,10.0,-2.0
290,poi,9,0.6000000000000001,10.5,-1.43
291,poi,9,0.7000000000000001,8.0,-1.1
292,poi,9,0.8,12.0,-1.06
293,poi,9,0.9,9.0,-1.07
